word,meaning
你好,hello
我,I
妈妈,
再见,
爸爸,
十一,
十五,
十六,
十七,
十八,
十九,
二十,
二十一,
二十三,
二十四,
二十五,
二十六,
二十七,
二十八,
二十九,
三十,
认为，
本来,
人为,
这些,
东西,
不好,
你们好,
请,
欢迎,
我们,
家,
非常,
喜歡,
我爱你,
一个,
小狗,
喜欢,
跑步,你們,
好,
М,
ы,
в,
с,
е,
о,
ч,
н,
ь,
...,
下午,
先,
应该,
干什么,
?,
That,
',
s,
the,
series,
I,
said,
that,
comes,
.,
Just,
came,
home,
Good,
這個,
保全,
謝謝,
We,
re,
going,
to,
use,
Carl,
Shaw,
Great,
Thank,
you,
so,
much,
叫,
小猫,
玩儿,
现在,
几天,
特别,
打篮球,
也,
一款,
七旧,
组车,
告诉,
谁,
奶奶,
爷爷,
Э,
т,
ж,
я,
м,
а,
!,
痛心,
您,
很,
高兴,
认识,
",",
喝咖啡,
这,
喝茶,
没有,
孔,
下次,
见,
好不好,
对,
怎么样,
难过,
吗,
吃,
米饭,
吧,
用,
刺划,
去皮,
之后,
字幕,
by,
索兰娅,
快,
喝啤酒,
为什么,
不,
大家,
肩胀,
介紹,
一下,
叫斯菲,
喬武,
紅北田間,
喝,
What,
积极,
感受,
到,
潜力,
她,
聪明,
男人,
他,
开车,
家门,
多,
咬,
好吃,
车,
说,
星期五,
十月,
非常高兴,
因为,
今天,
开始,
粉,
饥,
进一步,
金钱,
怎么,
养,
哪里,
舒服,
身体,
都,
因為,
編得,
This,
time,
want,
Talk,
English,
Really,
it,
will,
record,
language,
Haha,
funny,
It,
looks,
like,
my,
is,
better,
than,
Chinese,
and,
good,
because,
tomorrow,
have,
speaking,
club,
m,
gonna,
One,
two,
three,
four,
five,
six,
seven,
eight,
nine,
10,
11,
12,
13,
14,
15,
16,
17,
18,
19,
20,
21,
22,
23,
24,
25,
26,
27,
28,
29,
30,
31,
